Running Brodnik (C++) Stack Test...
AC - T3_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T3_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T6_random_then_pop | Wall: 1.030000s | CPU User: 0.990000s | CPU Sys: 0.040000s | Max Memory: 35913728B
AC - T4_push_random_then_pop | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 4325376B
AC - T4_random_then_pop | Wall: 0.020000s | CPU User: 0.020000s | CPU Sys: 0.000000s | Max Memory: 4325376B
AC - T4_push_then_pop | Wall: 0.040000s | CPU User: 0.040000s | CPU Sys: 0.000000s | Max Memory: 4587520B
AC - T3_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 4063232B
AC - T7_push_then_pop | Wall: 21.590000s | CPU User: 21.050000s | CPU Sys: 0.540000s | Max Memory: 397803520B
AC - T1_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_push_then_pop | Wall: 1.780000s | CPU User: 1.730000s | CPU Sys: 0.050000s | Max Memory: 74055680B
AC - T2_push_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T5_push_then_pop | Wall: 0.360000s | CPU User: 0.360000s | CPU Sys: 0.000000s | Max Memory: 14155776B
AC - T8_push_then_pop | Wall: 173.800000s | CPU User: 170.220000s | CPU Sys: 3.580000s | Max Memory: 3642753024B
Running Brodnik (C++) Sort Test...
Running Brodnik (C) Sort Test...
Running STL Vector (C++) Sort Test...
Running STL Deque (C++) Sort Test...
Running Brodnik (C++) Binary Search Test...
Running Brodnik (C) Binary Search Test...
Running STL Vector (C++) Binary Search Test...
Running Brodnik (C++) Linear Search Test...
Running Brodnik (C) Linear Search Test...
Running STL Vector (C++) Linear Search Test...
Running Brodnik (C++) Heap Test...
AC - T8 | Wall: 89.090000s | CPU User: 75.830000s | CPU Sys: 13.260000s | Max Memory: 203816960B
