Running Brodnik (C++) Stack Test...
AC - T2_random_then_pop | Wall: 0.001718s | CPU User: 0.000649s | CPU Sys: 0.000650s | Max Memory: 2490368B
AC - T4_random | Wall: 0.021140s | CPU User: 0.017580s | CPU Sys: 0.003102s | Max Memory: 3670016B
AC - T2_push_random_then_pop | Wall: 0.001380s | CPU User: 0.001054s | CPU Sys: 0.000000s | Max Memory: 3407872B
AC - T5_push_then_random | Wall: 0.140772s | CPU User: 0.136236s | CPU Sys: 0.004007s | Max Memory: 4411392B
AC - T1_random | Wall: 0.004162s | CPU User: 0.001921s | CPU Sys: 0.001921s | Max Memory: 524288B
AC - T8_random | Wall: 86.637722s | CPU User: 85.489730s | CPU Sys: 1.143816s | Max Memory: 1076707328B
AC - T4_push_then_pop | Wall: 0.007725s | CPU User: 0.006211s | CPU Sys: 0.001035s | Max Memory: 3407872B
AC - T7_push_then_random | Wall: 8.564994s | CPU User: 8.448745s | CPU Sys: 0.114991s | Max Memory: 137052160B
AC - T6_push_random_then_pop | Wall: 1.040463s | CPU User: 1.022840s | CPU Sys: 0.017000s | Max Memory: 10178560B
AC - T8_random_then_pop | Wall: 65.270569s | CPU User: 64.330171s | CPU Sys: 0.931966s | Max Memory: 1076580352B
AC - T5_push_random_then_pop | Wall: 0.074238s | CPU User: 0.069654s | CPU Sys: 0.003980s | Max Memory: 4145152B
AC - T4_push_then_random | Wall: 0.018946s | CPU User: 0.016423s | CPU Sys: 0.002053s | Max Memory: 3538944B
AC - T3_random | Wall: 0.007092s | CPU User: 0.005440s | CPU Sys: 0.001088s | Max Memory: 3407872B
AC - T8_push_random_then_pop | Wall: 72.055883s | CPU User: 71.041683s | CPU Sys: 1.011005s | Max Memory: 1076051968B
AC - T7_random_then_pop | Wall: 6.746303s | CPU User: 6.668674s | CPU Sys: 0.077012s | Max Memory: 70074368B
AC - T3_push_then_pop | Wall: 0.002251s | CPU User: 0.000912s | CPU Sys: 0.000912s | Max Memory: 3407872B
AC - T7_push_then_pop | Wall: 5.815382s | CPU User: 5.745364s | CPU Sys: 0.069015s | Max Memory: 68763648B
AC - T1_push_then_pop | Wall: 0.001639s | CPU User: 0.000612s | CPU Sys: 0.000611s | Max Memory: 2490368B
AC - T5_random | Wall: 0.142428s | CPU User: 0.136858s | CPU Sys: 0.004995s | Max Memory: 4411392B
AC - T6_push_then_pop | Wall: 0.586724s | CPU User: 0.580145s | CPU Sys: 0.006003s | Max Memory: 7553024B
AC - T5_random_then_pop | Wall: 0.077133s | CPU User: 0.073550s | CPU Sys: 0.003022s | Max Memory: 4149248B
AC - T1_push_random_then_pop | Wall: 0.004562s | CPU User: 0.000000s | CPU Sys: 0.004184s | Max Memory: 393216B
AC - T2_push_then_random | Wall: 0.004725s | CPU User: 0.002653s | CPU Sys: 0.001768s | Max Memory: 393216B
AC - T1_random_then_pop | Wall: 0.004192s | CPU User: 0.001949s | CPU Sys: 0.001949s | Max Memory: 1703936B
AC - T3_push_then_random | Wall: 0.004484s | CPU User: 0.003129s | CPU Sys: 0.001043s | Max Memory: 3670016B
AC - T6_push_then_random | Wall: 1.368935s | CPU User: 1.355184s | CPU Sys: 0.013002s | Max Memory: 11620352B
AC - T2_push_then_pop | Wall: 0.001765s | CPU User: 0.001334s | CPU Sys: 0.000000s | Max Memory: 2359296B
AC - T3_random_then_pop | Wall: 0.006201s | CPU User: 0.003911s | CPU Sys: 0.001955s | Max Memory: 3407872B
AC - T1_push_then_random | Wall: 0.003946s | CPU User: 0.001812s | CPU Sys: 0.001812s | Max Memory: 393216B
AC - T3_push_random_then_pop | Wall: 0.003090s | CPU User: 0.001876s | CPU Sys: 0.000938s | Max Memory: 3407872B
AC - T6_random_then_pop | Wall: 0.653186s | CPU User: 0.647704s | CPU Sys: 0.004997s | Max Memory: 10702848B
AC - T5_push_then_pop | Wall: 0.068524s | CPU User: 0.064901s | CPU Sys: 0.002995s | Max Memory: 4018176B
AC - T4_push_random_then_pop | Wall: 0.017888s | CPU User: 0.013994s | CPU Sys: 0.002999s | Max Memory: 3670016B
AC - T8_push_then_pop | Wall: 57.600240s | CPU User: 56.984242s | CPU Sys: 0.609025s | Max Memory: 539578368B
AC - T6_random | Wall: 1.109387s | CPU User: 1.092876s | CPU Sys: 0.015999s | Max Memory: 11620352B
AC - T8_push_then_random | Wall: 85.477013s | CPU User: 84.371226s | CPU Sys: 1.101039s | Max Memory: 1075396608B
AC - T2_random | Wall: 0.001855s | CPU User: 0.000000s | CPU Sys: 0.001430s | Max Memory: 2359296B
AC - T4_random_then_pop | Wall: 0.017461s | CPU User: 0.014031s | CPU Sys: 0.003006s | Max Memory: 3407872B
Running STL Stack List (C++) Stack Test...
AC - T7_push_random_then_pop | Wall: 8.775416s | CPU User: 8.542494s | CPU Sys: 0.232029s | Max Memory: 536870912B
AC - T7_random | Wall: 10.797963s | CPU User: 10.496607s | CPU Sys: 0.299997s | Max Memory: 643563520B
AC - T2_random_then_pop | Wall: 0.004787s | CPU User: 0.001076s | CPU Sys: 0.003227s | Max Memory: 917504B
AC - T4_random | Wall: 0.024181s | CPU User: 0.021683s | CPU Sys: 0.001971s | Max Memory: 4063232B
AC - T2_push_random_then_pop | Wall: 0.003130s | CPU User: 0.002600s | CPU Sys: 0.000000s | Max Memory: 3276800B
AC - T5_push_then_random | Wall: 0.164579s | CPU User: 0.156939s | CPU Sys: 0.006998s | Max Memory: 9961472B
AC - T1_random | Wall: 0.004579s | CPU User: 0.001936s | CPU Sys: 0.001936s | Max Memory: 1179648B
AC - T8_random | Wall: 105.456513s | CPU User: 102.426334s | CPU Sys: 3.024049s | Max Memory: 6403522560B
AC - T4_push_then_pop | Wall: 0.008848s | CPU User: 0.008371s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T7_push_then_random | Wall: 10.835937s | CPU User: 10.515946s | CPU Sys: 0.319022s | Max Memory: 643563520B
AC - T6_push_random_then_pop | Wall: 0.877325s | CPU User: 0.847613s | CPU Sys: 0.028992s | Max Memory: 56885248B
AC - T8_random_then_pop | Wall: 80.059748s | CPU User: 77.933561s | CPU Sys: 2.124893s | Max Memory: 4803526656B
AC - T5_push_random_then_pop | Wall: 0.144211s | CPU User: 0.138592s | CPU Sys: 0.004985s | Max Memory: 8912896B
AC - T4_push_then_random | Wall: 0.024073s | CPU User: 0.019598s | CPU Sys: 0.003919s | Max Memory: 4063232B
AC - T3_random | Wall: 0.002529s | CPU User: 0.001082s | CPU Sys: 0.001081s | Max Memory: 3538944B
AC - T8_push_random_then_pop | Wall: 87.795763s | CPU User: 85.449591s | CPU Sys: 2.342765s | Max Memory: 5336858624B
AC - T7_random_then_pop | Wall: 8.008717s | CPU User: 7.794922s | CPU Sys: 0.212991s | Max Memory: 483524608B
AC - T3_push_then_pop | Wall: 0.006946s | CPU User: 0.004642s | CPU Sys: 0.001857s | Max Memory: 3276800B
AC - T7_push_then_pop | Wall: 7.465074s | CPU User: 7.297201s | CPU Sys: 0.167015s | Max Memory: 323616768B
AC - T1_push_then_pop | Wall: 0.004562s | CPU User: 0.001030s | CPU Sys: 0.003092s | Max Memory: 2359296B
AC - T5_random | Wall: 0.167416s | CPU User: 0.160879s | CPU Sys: 0.005995s | Max Memory: 9961472B
AC - T6_push_then_pop | Wall: 1.107398s | CPU User: 1.080432s | CPU Sys: 0.025986s | Max Memory: 35651584B
AC - T5_random_then_pop | Wall: 0.128521s | CPU User: 0.119789s | CPU Sys: 0.007986s | Max Memory: 8388608B
AC - T1_push_random_then_pop | Wall: 0.002247s | CPU User: 0.000896s | CPU Sys: 0.000895s | Max Memory: 2228224B
AC - T2_push_then_random | Wall: 0.004873s | CPU User: 0.001810s | CPU Sys: 0.002715s | Max Memory: 3801088B
AC - T1_random_then_pop | Wall: 0.004114s | CPU User: 0.001906s | CPU Sys: 0.001906s | Max Memory: 1703936B
AC - T3_push_then_random | Wall: 0.004343s | CPU User: 0.003007s | CPU Sys: 0.001002s | Max Memory: 3407872B
AC - T6_push_then_random | Wall: 1.634467s | CPU User: 1.580728s | CPU Sys: 0.052992s | Max Memory: 67502080B
AC - T2_push_then_pop | Wall: 0.002338s | CPU User: 0.000000s | CPU Sys: 0.001904s | Max Memory: 2359296B
AC - T3_random_then_pop | Wall: 0.007289s | CPU User: 0.005780s | CPU Sys: 0.000963s | Max Memory: 3407872B
AC - T1_push_then_random | Wall: 0.002208s | CPU User: 0.001918s | CPU Sys: 0.000000s | Max Memory: 2490368B
AC - T3_push_random_then_pop | Wall: 0.006709s | CPU User: 0.004589s | CPU Sys: 0.001836s | Max Memory: 3407872B
AC - T6_random_then_pop | Wall: 0.807105s | CPU User: 0.785652s | CPU Sys: 0.021021s | Max Memory: 51511296B
AC - T5_push_then_pop | Wall: 0.072711s | CPU User: 0.069996s | CPU Sys: 0.002002s | Max Memory: 6815744B
AC - T4_push_random_then_pop | Wall: 0.010568s | CPU User: 0.010200s | CPU Sys: 0.000000s | Max Memory: 4063232B
AC - T8_push_then_pop | Wall: 70.905278s | CPU User: 69.436327s | CPU Sys: 1.466006s | Max Memory: 3203923968B
AC - T6_random | Wall: 1.049842s | CPU User: 1.018122s | CPU Sys: 0.031009s | Max Memory: 67502080B
AC - T8_push_then_random | Wall: 103.905459s | CPU User: 101.055997s | CPU Sys: 2.847936s | Max Memory: 6403522560B
AC - T2_random | Wall: 0.005164s | CPU User: 0.000920s | CPU Sys: 0.003677s | Max Memory: 1179648B
AC - T4_random_then_pop | Wall: 0.019865s | CPU User: 0.016265s | CPU Sys: 0.003050s | Max Memory: 3932160B
Running Brodnik (C++) Sort Test...
AC - T8 | Wall: 193.550499s | CPU User: 193.162526s | CPU Sys: 0.384989s | Max Memory: 404094976B
AC - T2 | Wall: 0.004919s | CPU User: 0.001796s | CPU Sys: 0.002694s | Max Memory: 1048576B
AC - T3 | Wall: 0.007379s | CPU User: 0.006021s | CPU Sys: 0.001004s | Max Memory: 3276800B
AC - T7 | Wall: 17.946441s | CPU User: 17.897960s | CPU Sys: 0.046999s | Max Memory: 43778048B
AC - T6 | Wall: 1.867310s | CPU User: 1.857606s | CPU Sys: 0.009003s | Max Memory: 7471104B
AC - T5 | Wall: 0.138182s | CPU User: 0.137566s | CPU Sys: 0.000000s | Max Memory: 4194304B
AC - T4 | Wall: 0.013690s | CPU User: 0.013349s | CPU Sys: 0.000000s | Max Memory: 3407872B
AC - T1 | Wall: 0.004177s | CPU User: 0.001946s | CPU Sys: 0.001946s | Max Memory: 655360B
Running Brodnik (C) Sort Test...
AC - T8 | Wall: 215.116078s | CPU User: 213.432261s | CPU Sys: 1.676734s | Max Memory: 802615296B
AC - T2 | Wall: 0.002741s | CPU User: 0.000000s | CPU Sys: 0.002285s | Max Memory: 131072B
AC - T3 | Wall: 0.005671s | CPU User: 0.003200s | CPU Sys: 0.002133s | Max Memory: 1572864B
AC - T7 | Wall: 19.280304s | CPU User: 19.173718s | CPU Sys: 0.104999s | Max Memory: 81969152B
AC - T6 | Wall: 1.667038s | CPU User: 1.659344s | CPU Sys: 0.006998s | Max Memory: 9674752B
AC - T5 | Wall: 0.143477s | CPU User: 0.142884s | CPU Sys: 0.000000s | Max Memory: 2490368B
AC - T4 | Wall: 0.023060s | CPU User: 0.020700s | CPU Sys: 0.001972s | Max Memory: 1703936B
AC - T1 | Wall: 0.002188s | CPU User: 0.000946s | CPU Sys: 0.000946s | Max Memory: 1310720B
Running STL Vector (C++) Sort Test...
AC - T8 | Wall: 84.886466s | CPU User: 84.461244s | CPU Sys: 0.421010s | Max Memory: 403439616B
AC - T2 | Wall: 0.002182s | CPU User: 0.001657s | CPU Sys: 0.000000s | Max Memory: 2752512B
AC - T3 | Wall: 0.006254s | CPU User: 0.003914s | CPU Sys: 0.001957s | Max Memory: 3407872B
AC - T7 | Wall: 8.264533s | CPU User: 8.209065s | CPU Sys: 0.055004s | Max Memory: 43253760B
AC - T6 | Wall: 0.709373s | CPU User: 0.702778s | CPU Sys: 0.005998s | Max Memory: 7471104B
AC - T5 | Wall: 0.077045s | CPU User: 0.074569s | CPU Sys: 0.001989s | Max Memory: 3670016B
AC - T4 | Wall: 0.017472s | CPU User: 0.015126s | CPU Sys: 0.002017s | Max Memory: 3407872B
AC - T1 | Wall: 0.002473s | CPU User: 0.000000s | CPU Sys: 0.001847s | Max Memory: 3014656B
Running STL Deque (C++) Sort Test...
AC - T8 | Wall: 116.156657s | CPU User: 115.804305s | CPU Sys: 0.351992s | Max Memory: 422313984B
AC - T2 | Wall: 0.004932s | CPU User: 0.002151s | CPU Sys: 0.002151s | Max Memory: 786432B
AC - T3 | Wall: 0.006640s | CPU User: 0.004086s | CPU Sys: 0.002044s | Max Memory: 3932160B
